instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
Pennsylvania State University-Penn State Beaver,Pennsylvania State University-Penn State Beaver,Penn State,100 University Drive,Monaca,PA,15061-2764,31900,31900,40084,19646,0,0,92,0,46,91,7378,1298,835,185
Pennsylvania State University-Penn State Berks,Pennsylvania State University-Penn State Berks,Penn State,Tulpehocken Road,Reading,PA,19610-1016,33396,33396,42648,21142,0,0,416,39,59,82,7014,1817,1585,600
Pennsylvania State University-Penn State Brandywine,Pennsylvania State University-Penn State Brandywine,Penn State,25 Yearsley Mill Road,Media,PA,19063-5522,32666,32666,41226,20412,0,0,160,3,47,87,7640,1369,1189,386
Pennsylvania State University-Penn State DuBois,Pennsylvania State University-Penn State DuBois,Penn State,1 College Place,DuBois,PA,15801-2549,,31900,40084,19646,0,0,36,65,53,93,6558,344,291,143
Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania State University-Penn State Erie-Behrend College,Penn State,4701 College Drive,Erie,PA,16563-0001,33396,33396,42648,21142,0,70,686,28,66,78,7166,3392,3023,1065
Pennsylvania State University-Penn State Fayette- Eberly,Pennsylvania State University-Penn State Fayette- Eberly,Penn State,2201 University Drive,Lemont Furnace,PA,15456-1025,,31900,40084,19646,0,0,108,23,49,96,6647,532,428,192
Pennsylvania State University-Penn State Greater Allegheny,Pennsylvania State University-Penn State Greater Allegheny,Penn State,4000 University Drive,McKeesport,PA,15132-7644,31900,31900,40084,19646,0,0,71,1,46,93,7775,393,343,117
Pennsylvania State University-Penn State Harrisburg,Pennsylvania State University-Penn State Harrisburg,Penn State,777 West Harrisburg Pike,Middletown,PA,17057-4846,33396,33396,42648,21142,6,223,732,4,63,73,6506,4588,4026,987
Pennsylvania State University-Penn State Hazleton,Pennsylvania State University-Penn State Hazleton,Penn State,76 University Drive,Hazleton,PA,18202-8025,32666,32666,41226,20412,0,0,56,49,51,93,7964,473,406,200
Pennsylvania State University-Penn State Lehigh Valley,Pennsylvania State University-Penn State Lehigh Valley,Penn State,2809 Saucon Valley Road,Center Valley,PA,18034-8447,,32666,41226,20412,0,0,105,1,63,88,8001,1045,892,232
Pennsylvania State University-Penn State Mont Alto,Pennsylvania State University-Penn State Mont Alto,Penn State,1 Campus Drive,Mont Alto,PA,17237-9700,31900,31900,40084,19646,0,0,73,68,50,94,7379,554,422,208
Pennsylvania State University-Penn State New Kensington,Pennsylvania State University-Penn State New Kensington,Penn State,3550 Seventh Street Road,New Kensington,PA,15068-1765,,31900,40084,19646,0,0,75,30,47,95,6396,441,353,164
Pennsylvania State University-Penn State Schuylkill,Pennsylvania State University-Penn State Schuylkill,Penn State,200 University Drive,Schuylkill Haven,PA,17972-2202,32666,32666,41226,20412,0,0,79,30,44,94,8694,414,305,142
Pennsylvania State University-Penn State Scranton,Pennsylvania State University-Penn State Scranton,Penn State,120 Ridge View Drive,Dunmore,PA,18512-1602,,32666,41226,20412,0,0,135,2,40,89,7701,666,548,227
Pennsylvania State University-Penn State Shenango,Pennsylvania State University-Penn State Shenango,Penn State,147 Shenango Avenue,Sharon,PA,16146-1537,,31540,39564,19286,0,0,47,44,44,98,9607,165,123,64
Pennsylvania State University-Penn State Wilkes-Barre,Pennsylvania State University-Penn State Wilkes-Barre,Penn State,Old Route 115,Lehman,PA,18627-0217,,31784,39968,19530,0,0,76,2,53,95,7535,293,252,88
Pennsylvania State University-Penn State York,Pennsylvania State University-Penn State York,Penn State,1031 Edgecomb Avenue,York,PA,17403-3326,,32666,41226,20412,0,1,73,13,53,66,6551,1139,972,256
Pennsylvania State University-World Campus,Pennsylvania State University-World Campus,Penn State,128 Outreach Building,University Park,PA,16802-1503,,30620,30620,17682,10,1672,1381,202,29,72,6294,962,522,219
Pepperdine University,Pepperdine University, ,24255 Pacific Coast Hwy,Malibu,CA,90263,73002,73002,73002,57682,287,1471,878,0,83,91,29921,11265,4016,803
Pfeiffer University,Pfeiffer University, ,48380 US Hwy 52N,Misenheimer,NC,28109-0960,44960,44960,44960,33734,0,212,183,0,43,100,22828,2701,1743,308
Piedmont College,Piedmont College, ,1021 Central Ave,Demorest,GA,30535-0010,40478,39510,39510,30310,10,298,267,0,50,100,19292,1379,822,256
Piedmont International University,Piedmont International University, ,420 S. Broad St.,Winston-Salem,NC,27101,20829,26870,26870,12520,27,38,48,6,36,100,5630,496,171,116
Pine Manor College,Pine Manor College, ,400 Heath St,Chestnut Hill,MA,2467,48290,49460,49460,36460,0,10,40,10,38,100,29891,363,149,62
Pittsburg State University,Pittsburg State University,Pitt State,1701 S Broadway,Pittsburg,KS,66762,19902,20068,31412,12736,2,427,1143,22,53,93,4426,2418,2166,962
Pittsburgh Institute of Mortuary Science Inc,Pittsburgh Institute of Mortuary Science Inc,PIMS,5808 Baum Blvd,Pittsburgh,PA,15206-3706,,,,,,,,86,86,96,2492,161,101,49
Pitzer College,Pitzer College,Pitzer|Pfizer|PZ|PTZ|PIT,1050 North Mills Avenue,Claremont,CA,91711-6101,72900,72900,72900,57154,0,0,254,0,84,52,40487,4358,581,273
Platt College-Aurora,Platt College-Aurora, ,3100 S Parker Rd,Aurora,CO,80014-3141,,40172,40172,28499,0,0,49,0,100,100,2589,9,2,2
Plaza College,Plaza College, ,118-33 Queens Boulevard,Forest Hills,NY,11375,,22300,22300,16400,0,0,52,204,64,97,7257,1768,534,287
Plymouth State University,Plymouth State University,Plymouth | Plymouth State | PSU | Plymout | Plimout | Plymoth | Plimoth | Plymot | Plimot,17 High Street,Plymouth,NH,03264-1595,28950,28750,37420,19180,14,290,764,0,53,99,7346,6646,5476,1097
Point Loma Nazarene University,Point Loma Nazarene University,PLNU,3900 Lomaland Dr,San Diego,CA,92106-2899,51308,55648,55648,41984,0,374,893,0,77,92,17614,3473,2394,657
Point Park University,Point Park University, ,201 Wood St,Pittsburgh,PA,15222-1984,46090,37720,37720,34570,14,311,662,3,60,100,20694,5834,3796,616
Point University,Point University,Point U,507 West 10th Street,West Point,GA,31833,30500,30400,30400,23750,0,0,207,34,32,100,10930,1228,653,247
Pomeroy College of Nursing at Crouse Hospital,Pomeroy College of Nursing at Crouse Hospital,Pomeroy College of Nursing,765 Irving Ave,Syracuse,NY,13210-1687,26914,32627,32627,20851,,,,100,55,85,2340,44,29,19
Pomona College,Pomona College, ,550 N College Ave,Claremont,CA,91711-6319,71996,66996,66996,55280,0,0,419,0,94,66,52716,10245,780,412
Ponce Health Sciences University,Ponce Health Sciences University, ,Urb Industrial Reparada Marginal St Lot 2,Ponce,PR,732,,31186,42186,21466,109,101,0,0,,100,2610,64,10,10
Pontifical Catholic University of Puerto Rico-Arecibo,Pontifical Catholic University of Puerto Rico-Arecibo, ,Carretera 662 KM 2.3,Arecibo,PR,00614-4045,,18383,18383,13997,1,47,104,21,34,93,5889,132,131,75
Pontifical Catholic University of Puerto Rico-Mayaguez,Pontifical Catholic University of Puerto Rico-Mayaguez,PUCPR-Mayaguez,482 Sur Calle Ramon Emerito Betances,Mayaguez,PR,00680-1713,,17600,17600,13214,0,18,128,28,24,96,5681,527,507,183
Pontifical Catholic University of Puerto Rico-Ponce,Pontifical Catholic University of Puerto Rico-Ponce,PUCPR,2250 Boulevard Luis A. Ferre Aguayo Suite 608,Ponce,PR,00717-9997,16918,18837,18837,14451,178,162,783,8,40,96,5759,2570,2357,1172
Pontifical College Josephinum,Pontifical College Josephinum, ,7625 N High Street,Columbus,OH,43235-1499,40050,,,,0,19,23,0,30,64,2164,6,5,4
Portland State University,Portland State University, ,724 SW Harrison,Portland,OR,97201,26085,26085,44417,12870,96,1674,4559,0,49,84,7760,6743,6082,1876
Post University,Post University, ,800 Country Club Rd,Waterbury,CT,6723,33560,30060,30060,22060,0,189,815,202,20,100,19601,6425,3406,727
Prairie View A & M University,Prairie View A & M University,PVAMU,FM 1098 Road & University Drive,Prairie View,TX,77446,24847,23277,37587,15156,13,393,1101,0,35,95,12586,7158,5321,2177
Pratt Institute-Main,Pratt Institute-Main,Pratt Institute,200 Willoughby Ave,Brooklyn,NY,11205,67742,72260,72260,56620,0,550,754,52,72,78,20352,8136,4125,848
Presbyterian College,Presbyterian College,PC,503 South Broad Street,Clinton,SC,29325,52910,52680,52680,43430,69,0,187,0,66,100,32077,2462,1695,310
Prescott College,Prescott College,Prescot College | Prescott University | Prescott University | Prescott | PC | Prescott Center for Alternative Education,220 Grove Ave,Prescott,AZ,86301,43295,40995,40995,33973,8,80,79,0,39,100,19032,248,236,48
Presentation College,Presentation College, ,1500 N Main,Aberdeen,SD,57401-1280,33983,32805,32805,24405,0,0,130,12,27,100,11086,262,253,98
Princeton University,Princeton University, ,1 Nassau Hall,Princeton,NJ,08544-0070,70900,,,,396,599,1299,0,96,62,50758,35370,1940,1339
Principia College,Principia College, ,1 Maybeck Place,Elsah,IL,62028-9799,43080,41470,41470,31470,0,0,115,0,75,98,28616,149,137,100
Professional Skills Institute,Professional Skills Institute, ,1505 Holland Road,Maumee,OH,43537,,38468,38468,24774,,,,52,62,98,4188,46,36,20
Providence Christian College,Providence Christian College, ,1539 East Howard Street,Pasadena,CA,91104,45929,46192,46192,35450,0,0,20,0,33,100,23339,149,131,35
Providence College,Providence College, ,1 Cunningham Square,Providence,RI,02918-0001,67300,65378,65378,58278,0,245,919,0,86,79,26945,11421,5593,1122
Purdue University Fort Wayne,Purdue University Fort Wayne,IPFW|IUPUFW|Purdue University-Fort Wayne|Purdue-Fort Wayne|Purdue Fort Wayne,2101 E Coliseum Blvd,Fort Wayne,IN,46805-1499,22200,22200,34038,12958,0,189,1407,100,39,90,8013,4777,4615,1553
Purdue University Northwest,Purdue University Northwest,Purdue Northwest,2200 169th Street,Hammond,IN,46323,22871,23595,33271,15917,0,340,1975,18,37,86,7608,4849,1507,1172
Purdue University-Main Campus,Purdue University-Main Campus,Purdue-West Lafayette|Purdue|PU|Purdue-WL,Hovde Hall of Administration,West Lafayette,IN,47907-2040,22822,21682,40484,14332,978,2262,6602,43,81,69,10524,53722,31146,8491
Queens University of Charlotte,Queens University of Charlotte,Queens,1900 Selwyn Ave,Charlotte,NC,28274-0001,48968,47414,47414,38202,0,283,374,0,53,100,26743,2419,1900,369
Quincy University,Quincy University, ,1800 College Ave,Quincy,IL,62301-2699,42462,41922,41922,32962,0,30,222,0,52,100,21599,1212,826,262
Quinnipiac University,Quinnipiac University, ,Mt Carmel Ave,Hamden,CT,6518,65300,66250,66250,53460,303,813,1543,0,77,99,22979,22757,16493,1899
Rabbi Jacob Joseph School,Rabbi Jacob Joseph School, ,One Plainfield Ave,Edison,NJ,08817-4494,19200,30114,30114,17700,0,0,6,0,10,82,10040,16,8,6
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Rabbinical Academy Mesivta Rabbi Chaim Berlin, ,1593 Coney Island Ave,Brooklyn,NY,11230,19450,30664,30664,18250,0,29,25,0,38,100,11804,39,39,39
Rabbinical College Beth Shraga,Rabbinical College Beth Shraga, ,28 Saddle River Rd,Monsey,NY,10952-3033,23250,31764,31764,19350,0,0,0,0,7,42,6600,16,16,16
Rabbinical College of America,Rabbinical College of America, ,226 Sussex Ave,Morristown,NJ,07960-3600,23000,29714,29714,17300,0,0,17,0,8,100,8655,71,62,54
Rabbinical College of Long Island,Rabbinical College of Long Island, ,205 W Beech St,Long Beach,NY,11561,17700,,,,0,0,1,36,,100,6640,45,44,44
Rabbinical College Telshe,Rabbinical College Telshe,Telshe Yeshiva,28400 Euclid Ave,Wickliffe,OH,44092,20200,35170,35170,16700,0,3,4,0,29,87,8498,25,21,19
Rabbinical Seminary of America,Rabbinical Seminary of America, ,76-01 147th St,Flushing,NY,11367,19100,30600,30600,15100,0,16,36,0,27,82,10098,79,78,76
Radford University,Radford University, ,801 East Main St.,Radford,VA,24142,24088,24488,36570,18710,38,300,1890,0,59,86,7917,14161,10561,1762
Ramapo College of New Jersey,Ramapo College of New Jersey, ,505 Ramapo Valley Rd,Mahwah,NJ,07430-1680,31572,33564,42905,21732,0,231,1333,0,74,81,12020,6945,4368,946
Randall University,Randall University, ,3701 S. I-35 Frontage Road,Moore,OK,73160,27656,30507,30507,19952,0,3,32,8,23,95,8050,202,102,80
Randolph College,Randolph College,Randolph|Randolph-Macon Woman's College|Randolph Macon Women's College|Randolph-Macon Womens College|Randolph Macon Womens College|R-MWC|RMWC|Randolf-Macon Women's College|Randolf Macon Women's College|Randolf|Randolph Lynchburg|RC|Lynchburg Randolph,2500 Rivermont Ave,Lynchburg,VA,24503-1555,57115,,,,0,14,148,0,59,100,28282,1576,1366,166
Randolph-Macon College,Randolph-Macon College,Randolph-Macon,204 Henry St,Ashland,VA,23005-5505,55860,54790,54790,44000,0,0,320,0,66,100,26216,2907,1951,420
Reading Hospital School of Health Sciences,Reading Hospital School of Health Sciences,RHSHS,1025 Old Wyomissing Road,Reading,PA,19611,22555,27684,27684,19146,,,,0,36,92,5964,127,38,31
Reed College,Reed College,Reed,3203 SE Woodstock Blvd,Portland,OR,97202-8199,73207,70337,70337,58997,0,3,284,0,81,56,37767,5957,2087,363
Regent University,Regent University, ,1000 Regent University Dr,Virginia Beach,VA,23464,29763,33528,33528,23673,296,947,567,21,59,97,12179,2913,2379,465
Regis College,Regis College, ,235 Wellesley St,Weston,MA,02493-1571,59360,60360,60360,46780,15,223,291,97,57,100,28536,2207,1711,240
Regis University,Regis University,Regis/Regis College/RU/Jesuit/Jesuit Denver Colorado/Regis Nursing/College of Computer & Information Science/College of Business & Economics/College of Contemporary Liberal Studies/RHCHP/Rangers/Regis U/Regis in Colorado/Rueckert-Hartman College for Health Professions/College of Computer & Information Sciences/College of Business & Economics/Anderson College of Business,3333 Regis Blvd,Denver,CO,80221-1099,53192,53192,53192,41480,176,1101,1074,0,69,99,22404,7297,4399,508
Reinhardt University,Reinhardt University, ,7300 Reinhardt Circle,Waleska,GA,30183-2981,40700,39300,39300,30900,0,37,240,12,29,100,14785,1216,1092,351
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,RPI  Rensselaer,110 8th St,Troy,NY,12180-3590,71998,,,,164,405,1414,0,86,82,30824,20402,8770,1778
Rhode Island College,Rhode Island College,RIC|RI College|R.I. College|,600 Mount Pleasant Ave,Providence,RI,2908,23398,25158,37921,12329,6,250,1326,0,50,90,7556,4208,3091,849
Rhode Island School of Design,Rhode Island School of Design,RISD,2 College St,Providence,RI,02903-2784,70560,70560,70560,58156,0,207,458,0,89,45,28261,3913,934,473
Rhodes College,Rhodes College, ,2000 North Parkway,Memphis,TN,38112-1690,63040,63040,63040,51413,0,21,437,0,85,96,31293,5093,2269,543
Rice University,Rice University, ,6100 S Main St,Houston,TX,77005-1827,65150,65150,65150,51150,207,872,967,0,95,69,39956,20923,2328,960
Richard Bland College,Richard Bland College,Richard Bland  Richard Bland Junior College  Richard Bland College  RBC  Bland,11301 Johnson Rd.,South Prince George,VA,23805,21539,20050,33760,12300,,,,226,32,86,5562,2366,1364,440
Rider University,Rider University, ,2083 Lawrence Road,Lawrenceville,NJ,08648-3099,62140,56880,56880,46860,0,391,975,6,65,98,28265,9429,6569,921
Ringling College of Art and Design,Ringling College of Art and Design,Ringling College,2700 North Tamiami Trail,Sarasota,FL,34234-5895,67554,68154,68154,53220,0,0,275,0,72,99,14167,2306,1543,429
Ripon College,Ripon College, ,300 West Seward Street,Ripon,WI,54971-0248,54558,52908,52908,46158,0,0,159,0,68,100,33102,2619,1807,267
Riverside College of Health Careers,Riverside College of Health Careers, ,316 Main Street,Newport News,VA,23601,,29603,29603,22250,,,,131,100,50,5815,22,6,6
Rivier University,Rivier University, ,420 South Main St,Nashua,NH,3060,49560,48898,48898,39474,11,343,292,41,51,100,19539,2125,1543,273
Roanoke College,Roanoke College, ,221 College Lane,Salem,VA,24153-3794,61095,61489,61489,47405,0,0,456,0,67,100,30244,5122,3713,576
Robert Morris University,Robert Morris University, ,6001 University Boulevard,Moon Township,PA,15108-1189,48220,44350,44350,37700,57,297,934,0,64,98,19243,6269,5274,817
Robert Morris University Illinois,Robert Morris University Illinois,Robert Morris College |RMC |RMU,401 S State Street,Chicago,IL,60605,48690,41022,41022,31986,0,193,491,300,40,97,15033,2749,1743,398
Roberts Wesleyan College,Roberts Wesleyan College, ,2301 Westside Dr,Rochester,NY,14624,46396,43686,43686,38962,0,198,403,0,68,98,19790,1509,975,228
Rochester College,Rochester College, ,800 West Avon Road,Rochester Hills,MI,48307,33292,31298,31298,26594,0,6,246,10,37,99,13866,361,361,139
Rochester Institute of Technology,Rochester Institute of Technology,RIT  |R.I.T.,1 Lomb Memorial Dr,Rochester,NY,14623-5603,57401,57401,57401,44611,31,1159,2467,144,67,98,22552,19335,12765,2847
Rockford University,Rockford University,Rockford College,5050 E State St,Rockford,IL,61108-2311,44270,43780,43780,36030,0,73,270,0,38,99,19009,2682,1315,161
Rockhurst University,Rockhurst University,Rockhurst,1100 Rockhurst Rd,Kansas City,MO,64110-2561,53031,55911,55911,43451,49,330,425,0,75,100,27358,3746,2477,402
Rocky Mountain College,Rocky Mountain College,RMC,1511 Poly Drive,Billings,MT,59102-1796,41472,41471,41471,33142,0,59,186,8,49,100,20441,1521,889,252
Roger Williams University,Roger Williams University,RWU,One Old Ferry Road,Bristol,RI,02809-2921,54642,42900,42900,37920,0,127,988,73,70,100,15117,9147,7875,1040
Rolf Institute of Structural Integration,Rolf Institute of Structural Integration, ,5055 Chaparral Court  Suite 103,Boulder,CO,80301-0000,,,,,,,,0,69,100,4808,3,3,3
Rolla Technical Institute/Center,Rolla Technical Institute/Center, ,500 Forum Drive,Rolla,MO,65401,,,,,,,,0,89,87,7476,68,49,36
Rollins College,Rollins College,Rollins,1000 Holt Avenue,Winter Park,FL,32789-4499,67862,61942,61942,52152,5,266,661,0,74,92,33271,5455,3635,549
Roosevelt University,Roosevelt University, ,430 S Michigan Ave,Chicago,IL,60605-1394,48655,47332,47332,36532,88,654,707,0,39,98,20550,3943,2557,324
Rose-Hulman Institute of Technology,Rose-Hulman Institute of Technology,R-HIT|RHIT|Rose Polytechnic|Rose Polytechnic Institute|RP|RPI|Rose-Hulman|Rose Hulman|Rose-Hulman Institute|Rose Hulman Institute|Rose,5500 Wabash Avenue,Terre Haute,IN,47803-3920,67697,67697,67697,52931,0,43,500,0,81,99,20968,4471,3049,501
